Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\6th Gear Cruise.csv
Number of frames 1304
Length: 0:01:03.250s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
20,1078,0,2843,65.8655,6,-0.7,-11.0,-29.9,-29.9,20,17,2.38,0,29.30,309,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.42,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.61,0.00,14.61,0.00,10.00,14.63,0.00,-10,-1,0,0,-11,2,0,0,0,16,0,0,0,0,0,96,17,7,6,1,0,0,0,0,14.20,32.0,64.7843,64.5420,64.3059,64.3431,0,0.00,0,0,0.00,.0000,0.00,0.0,29.2,1.398,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
21,1125,0,2849,65.8655,6,-0.6,-10.8,-29.9,-29.9,20,17,2.40,0,30.30,319,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.59,0.00,13,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.68,0.00,14.68,0.00,10.00,14.42,0.00,-9,-1,0,0,-10,2,0,0,0,28,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.7843,64.4985,64.2251,64.2810,0,0.00,0,0,0.00,.0000,0.00,0.0,29.2,1.398,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
22,1187,0,2843,65.8655,6,-0.6,-10.8,-29.9,-29.9,20,17,2.40,0,29.90,315,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.52,0.00,13,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.58,0.00,14.58,0.00,10.00,14.47,0.00,-10,-1,0,0,-11,2,0,0,0,16,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.7657,64.4612,64.0511,64.3742,0,0.00,0,0,0.00,.0000,0.00,0.0,29.2,1.398,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
23,1234,0,2840,65.8655,6,-0.6,-10.7,-29.9,-29.9,20,17,2.40,0,30.50,322,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.55,0.00,13,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.45,0.00,14.45,0.00,10.00,14.66,0.00,-10,-1,0,0,-11,2,0,0,0,13,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.6725,64.4798,64.2375,64.3618,0,0.00,0,0,0.00,.0000,0.00,0.0,29.2,1.398,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
24,1281,0,2843,65.8655,6,-0.6,-10.7,-29.9,-29.9,20,17,2.40,0,29.90,315,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.43,0.00,12,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.38,0.00,14.38,0.00,10.00,14.76,0.00,-10,-1,0,0,-11,2,0,0,0,41,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.7843,64.5420,64.3245,64.3618,0,0.00,0,0,0.00,.0000,0.00,0.0,29.2,1.398,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
25,1312,0,2843,65.8655,6,-0.7,-10.7,-29.9,-29.9,20,17,2.40,0,30.30,319,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.46,0.00,12,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.50,0.00,14.50,0.00,10.00,14.71,0.00,-10,-1,0,0,-11,2,0,0,0,21,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.30,32.0,64.8092,64.3742,64.2562,64.4177,0,0.00,0,0,0.00,.0000,0.00,0.0,29.2,1.398,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
26,1375,0,2841,65.8655,6,-0.6,-10.8,-29.9,-29.9,20,17,2.36,0,28.92,305,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.28,0.00,12,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.63,0.00,14.63,0.00,10.00,14.51,0.00,-10,-1,0,0,-11,2,0,0,0,45,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.7657,64.4053,64.2872,64.3742,0,0.00,0,0,0.00,.0000,0.00,0.0,29.2,1.398,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
27,1406,0,2846,65.8655,6,-0.6,-10.8,-29.9,-29.9,20,17,2.38,0,29.70,313,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.48,0.00,12,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.66,0.00,14.66,0.00,10.00,14.49,0.00,-10,-1,0,0,-11,2,0,0,0,32,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.7843,64.6538,64.4364,64.5047,0,0.00,0,0,0.00,.0000,0.00,0.0,29.2,1.398,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
28,1468,0,2852,65.8655,6,-0.6,-10.7,-29.9,-29.9,20,17,2.38,0,29.50,310,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.45,0.00,12,0.00,0.00,0,32,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.84,0.00,14.84,0.00,10.00,14.51,0.00,-10,-1,0,0,-11,2,0,0,0,18,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.8713,64.6725,64.3245,64.4177,0,0.00,0,0,0.00,.0000,0.00,0.0,29.2,1.398,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
29,1515,0,2841,65.8655,6,-0.6,-10.7,-29.9,-29.9,20,17,2.40,0,29.90,315,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.58,0.00,13,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.80,0.00,14.80,0.00,10.00,14.28,0.00,-10,-1,0,0,-11,2,0,0,0,45,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.8962,64.4364,64.3245,64.4364,0,0.00,0,0,0.00,.0000,0.00,0.0,29.2,1.398,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
30,1562,0,2846,65.8655,6,-0.7,-10.7,-29.9,-29.9,20,17,2.38,0,29.11,306,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.50,0.00,13,0.00,0.00,0,31,29,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.72,0.00,14.72,0.00,10.00,14.28,0.00,-9,-1,0,0,-10,2,0,0,0,21,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.7222,64.7470,64.5296,64.5171,0,0.00,0,0,0.00,.0000,0.00,0.0,29.2,1.398,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
31,1609,0,2843,65.8655,6,-0.6,-10.8,-29.9,-29.9,20,17,2.36,0,28.92,305,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.41,0.00,12,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.53,0.00,14.53,0.00,10.00,14.50,0.00,-9,-1,0,0,-10,2,0,0,0,20,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.7408,64.7222,64.4177,64.5544,0,0.00,0,0,0.00,.0000,0.00,0.0,28.0,1.400,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
32,1656,0,2846,65.8655,6,-0.6,-10.8,-29.9,-29.9,20,17,2.40,0,30.30,319,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.42,0.00,12,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.48,0.00,14.48,0.00,10.00,14.85,0.00,-9,-1,0,0,-10,2,0,0,0,32,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.8527,64.5668,64.3245,64.4177,0,0.00,0,0,0.00,.0000,0.00,0.0,28.0,1.400,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
33,1703,0,2843,65.8655,6,-0.6,-10.8,-29.9,-29.9,20,17,2.38,0,29.30,309,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.38,0.00,12,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.53,0.00,14.53,0.00,10.00,14.69,0.00,-9,-1,0,0,-10,2,0,0,0,33,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.8713,64.4612,64.3742,64.4364,0,0.00,0,0,0.00,.0000,0.00,0.0,28.0,1.400,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
34,1750,0,2848,65.8655,6,-0.6,-10.8,-29.9,-29.9,20,17,2.38,0,29.11,306,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.33,0.00,12,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.66,0.00,14.66,0.00,10.00,14.69,0.00,-9,-1,0,0,-10,2,0,0,0,15,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.6973,64.7408,64.5296,64.5544,0,0.00,0,0,0.00,.0000,0.00,0.0,28.0,1.400,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
35,1812,0,2848,65.8655,6,-0.7,-10.7,-29.9,-29.9,20,17,2.38,0,29.30,308,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.45,0.00,12,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.72,0.00,14.72,0.00,10.00,14.45,0.00,-9,-1,0,0,-10,2,0,0,0,25,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.7843,64.7408,64.6849,64.7284,0,0.00,0,0,0.00,.0000,0.00,0.0,28.0,1.400,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
36,1859,0,2845,65.8655,6,-0.6,-10.8,-29.9,-29.9,20,17,2.40,0,29.90,315,0,0,82.4,32.0,194.0,91.4,0.0,0.00,32.0,5.67,0.00,13,0.00,0.00,0,31,30,30,0,0,0.00,0,0,Off,Off,98,Off,0,-29.9,14.76,0.00,14.76,0.00,10.00,14.28,0.00,-9,-1,0,0,-10,2,0,0,0,38,0,0,0,0,0,96,16,7,6,1,0,0,0,0,14.20,32.0,64.9583,64.6352,64.3742,64.4861,0,0.00,0,0,0.00,.0000,0.00,0.0,28.0,1.400,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
