Export of C:\Users\extra\OneDrive\Documents\FlashPro Calibrations\3000 rpm tap.csv
Number of frames 501
Length: 0:00:24.297s
frame,time_ms,time_us,RPM,VSS,Gear,PTANK,MAP,BP,BP CMD,TPedal,TPlate,AFM.v,AFM Hz,AFM,AFM.c,AIRC,EGR,IAT,IAT2,ECT,ECT2,PA,Oil.Press,CVT.Temp,INJ,INJ Bank 2,DUTY,DIFP,DIFPCMD,FuelP,IGN,CAM,CAMCMD,EXCAM,EXCAMCMD,WG,WGCMD,WGSOL,VTS,SVS,Purge,ACCL,BC Duty,BC Target,AF,AF Bank 2,AF.Corr,Wide.V,Wide,AFCMD,AFCMD Bank 2,S.TRIM,L.TRIM,S.TRIM Bank 2,L.TRIM Bank 2,Trim,Fuel Status,Fuel Status Bank 2,Ethanol,EBCAN Status,K.Level,K.Retard,K.Retard.1,K.Retard.2,K.Retard.3,K.Retard.4,K.Control,Ign.Limit,K.Count,K.Count.1,K.Count.2,K.Count.3,K.Count.4,K.Count.5,K.Count.6,BAT,Cat.T,ABS.LF,ABS.RF,ABS.LR,ABS.RR,Clutch.Pos,Brake.Press,Steer Ang,Steer Trq,G.Lat,G.Long,G.Z,Yaw,Eco,Fuel Used,TC.V,TC.ECUSlip,TC.R,TC.LF,TC.RF,TC.LR,TC.RR,TC.Slip,TC.Turn,TC.OverSlip,TC.Out,Trq Req,Act Trq
20,1078,0,763,.0000,1,0.0,-10.4,-29.9,-29.9,46,31,1.99,0,16.56,651,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.49,0.00,1,0.00,0.00,0,3,0,0,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.53,0.00,14.53,0.00,10.00,14.26,0.00,15,-1,0,0,14,2,0,0,0,2,0,0,0,0,0,90,21,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
21,1125,0,748,.0000,1,0.1,-0.9,-29.9,-29.9,51,59,2.13,0,20.62,827,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,15.59,0.00,9,0.00,0.00,0,-12,0,1,0,0,0.00,0,0,Off,Off,10,Off,0,-29.9,14.53,0.00,14.53,0.00,10.00,14.26,0.00,15,-1,0,0,14,2,0,0,0,7,8,0,0,0,0,90,0,0,0,0,0,0,0,0,13.90,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
22,1172,0,886,.0000,1,0.0,-0.9,-29.9,-29.9,37,56,1.88,0,13.82,467,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,15.17,0.00,11,0.00,0.00,0,-10,0,3,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,14.50,0.00,14.50,0.00,10.00,14.25,0.00,15,-1,0,0,14,2,0,0,0,6,8,0,0,0,0,90,0,0,0,0,0,0,0,0,14.30,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
23,1219,0,933,.0000,1,0.0,-4.2,-29.9,-29.9,0,13,1.95,0,15.82,508,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,13.98,0.00,10,0.00,0.00,0,-9,0,4,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,14.56,0.00,14.56,0.00,10.00,14.25,0.00,15,-1,0,0,14,2,0,0,0,4,3,0,0,0,0,90,8,0,0,0,0,0,0,0,14.40,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
24,1266,0,1121,.0000,1,0.0,-9.6,-29.9,-29.9,0,1,1.37,0,4.97,133,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,8.65,0.00,8,0.00,0.00,0,0,0,5,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,14.61,0.00,14.61,0.00,10.00,14.24,0.00,15,-1,0,0,14,2,0,0,0,5,0,0,0,0,0,90,22,0,0,0,0,0,0,0,14.30,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
25,1313,0,1302,.0000,1,0.0,-13.0,-29.9,-29.9,0,3,1.21,0,3.01,69,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,4.44,0.00,4,0.00,0.00,0,15,0,5,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,12.26,0.00,12.50,0.00,10.00,14.24,0.00,15,-1,0,0,14,2,0,0,0,7,0,0,0,0,0,90,35,0,0,0,0,0,0,0,14.10,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
26,1360,0,1547,.0000,1,0.0,-16.7,-29.9,-29.9,0,3,1.17,0,2.69,52,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,2.08,0.00,2,0.00,0.00,0,23,0,6,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,11.25,0.00,11.84,0.00,10.00,14.46,0.00,15,-1,0,0,14,2,0,0,0,5,0,0,0,0,0,90,49,0,0,0,0,0,0,0,14.20,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
27,1407,0,1771,.0000,1,0.0,-19.2,-29.9,-29.9,9,3,1.19,0,2.81,47,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,1.62,0.00,2,0.00,0.00,0,27,0,6,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,10.14,0.00,11.12,0.00,10.00,14.51,0.00,13,-1,0,0,11,2,0,0,0,7,0,0,0,0,0,90,52,0,0,0,0,0,0,0,14.20,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
28,1453,0,1890,.0000,1,0.0,-18.5,-29.9,-29.9,21,8,1.21,0,3.01,47,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,1.06,0.00,1,0.00,0.00,0,29,1,7,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,10.14,0.00,11.12,0.00,10.00,14.51,0.00,9,-1,0,0,7,2,0,0,0,7,0,0,0,0,0,90,51,0,0,0,0,0,0,0,14.20,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
29,1500,0,1828,.0000,1,0.0,-3.6,-29.9,-29.9,42,24,1.91,0,14.86,243,0,0,123.8,32.0,194.0,176.0,0.0,0.00,32.0,1.91,0.00,2,0.00,0.00,0,19,1,9,0,0,0.00,0,0,Off,Off,0,Off,0,-29.9,10.14,0.00,11.12,0.00,10.00,14.51,0.00,5,-1,0,0,3,2,0,0,0,9,0,0,0,0,0,90,8,0,0,0,0,0,0,0,14.20,32.0,.0000,.0000,.0000,.0000,0,0.00,0,0,0.00,.0000,0.00,0.0,0.0,0.035,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0
